unit_key,channel,unit_id,is_mua,n_spikes,snr,isi_violation,band,lfp_channel,mrl,ppc,p_value,preferred_phase_deg,significant
ch0_unit2,0,2,True,220,3.05,4.11,theta,13,0.0944,0.0044,0.140913,33.2,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,14,0.1020,0.0059,0.101228,54.8,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,0,0.0620,-0.0007,0.428817,-31.3,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,1,0.0287,-0.0037,0.834629,-126.1,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,2,0.0526,-0.0018,0.544339,-46.7,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,3,0.0502,-0.0020,0.574112,-88.2,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,4,0.0470,-0.0023,0.614928,-57.9,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,5,0.0483,-0.0022,0.598574,-82.6,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,6,0.0557,-0.0014,0.504840,-80.1,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,7,0.0540,-0.0016,0.526066,-104.0,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,8,0.0629,-0.0006,0.419259,-39.7,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,9,0.0441,-0.0026,0.652259,-130.2,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,10,0.0704,0.0004,0.335903,-32.5,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,11,0.0796,0.0018,0.248086,-22.6,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,12,0.0799,0.0019,0.245182,-23.6,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,13,0.0773,0.0014,0.268569,-24.2,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,14,0.0823,0.0022,0.225126,-23.0,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,0,0.0482,-0.0022,0.600369,-113.5,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,1,0.0803,0.0019,0.241915,-147.2,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,2,0.0626,-0.0006,0.421738,-118.9,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,3,0.0822,0.0022,0.226137,-138.3,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,4,0.0669,-0.0001,0.373313,-130.7,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,5,0.0717,0.0006,0.322265,-122.8,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,6,0.0778,0.0015,0.263707,-131.7,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,7,0.0779,0.0015,0.262875,-139.7,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,8,0.0571,-0.0013,0.488678,-105.9,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,9,0.0722,0.0007,0.317289,-153.1,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,10,0.0435,-0.0027,0.659633,-103.0,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,11,0.0355,-0.0033,0.758361,-89.6,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,12,0.0454,-0.0025,0.634992,-89.8,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,13,0.0376,-0.0031,0.732278,-90.5,False
ch0_unit2,0,2,True,220,3.05,4.11,beta,14,0.0321,-0.0035,0.797548,-83.1,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,0,0.0501,-0.0020,0.575233,167.8,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,1,0.0439,-0.0026,0.654380,134.9,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,2,0.0452,-0.0025,0.638410,157.3,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,3,0.0539,-0.0016,0.527606,152.4,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,4,0.0617,-0.0007,0.433141,157.7,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,5,0.0717,0.0006,0.322219,154.1,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,6,0.0448,-0.0025,0.642533,141.3,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,7,0.0532,-0.0017,0.536416,142.3,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,8,0.0528,-0.0018,0.541946,160.7,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,9,0.0489,-0.0022,0.591477,130.2,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,10,0.0459,-0.0024,0.628580,152.5,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,11,0.0439,-0.0026,0.653934,125.0,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,12,0.0463,-0.0024,0.624336,165.1,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,13,0.0505,-0.0020,0.570694,165.6,False
ch0_unit2,0,2,True,220,3.05,4.11,low_gamma,14,0.0295,-0.0037,0.825974,131.6,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,0,0.0608,-0.0009,0.443498,-111.6,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,1,0.0850,0.0027,0.203982,-99.5,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,2,0.0564,-0.0014,0.496081,-104.6,False
